会社名,代表者,HP,電話番号,住所,会社メール,その他連絡方法,営業担当名,初回コンタクト日,属性,確度,状況,備考,掲載サイト,2回目以降最新コンタクト日
ザンシン,田中正人,https://zanthing.com/,03-4405-9001,〒101-0046 東京都千代田区神田多町2-9-6 田中ビル本館,,https://zanthing.com/contact/?t=c3dc485d31dcd569d1409c69e92001d3&k=3e8fbfdf08db7b8d4aeb36f588ef657c0c35b7b54676d08d52ce868654e96e9d&v=d5d41f1c7438d0cb8b727e1a0d59e09a,経岩宗高,2023/05/08,開発,E：未接触,未契約,,協業募集,2024/05/31
株式会社サイエンティフィックつくば,髙安 博,https://www.scientific-tsukuba.com/partner/,029-851-0103,〒305-0821 茨城県つくば市春日4丁目1番地12号 第2芳村ビル2F,,https://www.scientific-tsukuba.com/contact/,経岩宗高,2023/05/08,開発,E：未接触,未契約,,協業募集,2024/05/31
,,,,,,,,,,,,,,
BAP,,https://bap-blockchain.com/about-us,03-6280-4268,"〒103-0025 1-11-3 Nihonbashi Kayabacho, Chuo-ku, Tokyo Okamoto Building 5F",service@bap.jp,https://bap-software.net/overview/,経岩宗高,2023/05/08,その他,D：対応しない,未契約,NFT開発の会社,,
アイティーシー株式会社,磯貝 和広,アイティーシー株式会社,03-6914-0991,〒171-0022 東京都豊島区南池袋1-16-15 ダイヤゲート池袋10F,support@itc-tokyo.com,,経岩宗高,2023/05/08,開発,E：未接触,未契約,,協業募集協業募集,2024/06/03
サイバードリーム,野村拡伸,https://cyberdream.co.jp/,022-226-7480,〒980-0013 宮城県仙台市青葉区花京院1-1-10 あいおいニッセイ同和損保 仙台ビル14階,,https://cyberdream.com/inquiry/?_gl=1*uvugq7*_ga*MTI2MjUwOTE3Ny4xNzE1MzA2MzA3*_ga_P2GM1PVWVW*MTcxNTMwNjMwNi4xLjEuMTcxNTMwNjMyMy4wLjAuMA..,経岩宗高,2023/05/08,プロダクト,D：対応しない,未契約,,,
はこねっと合同会社,野本 昌孝,https://www.hako-net.co.jp/,075-778-5097,〒520-2153 滋賀県大津市一里山4-28-26,info@hako-net.co.jp,,経岩宗高,2023/05/08,開発,E：未接触,未契約,,協業募集,2024/06/03
BRAIN,,https://brainholdings.co.jp/,,,,,経岩宗高,,,E：未接触,未契約,,,
,,,,,,,,,,,,,,
レリパ,,https://relipasoft.com/nft-development/?gad=1&gclid=Cj0KCQjwu-KiBhCsARIsAPztUF1BIYFymmXJ9POjkU9K71veRLg0cjcpm1nHVocC0cULDxw-3GfPz3AaAh0PEALw_wcB,024 3200 4720,"22F, B Tower, Song Da Building, Pham Hung Street, My Dinh 1, Nam Tu Liem, Ha Noi, Viet Nam",contact@relipasoft.com,https://relipasoft.com/contact/,経岩宗高,2023/05/08,開発（プロダクト）,E：未接触,未契約,NFT開発の会社,,
ユニバーサルコンピューターシステム,野田 和昭,https://www.ucs.jp/ucs_web/index.html,03-5550-0811,〒104-0061 東京都中央区銀座７丁目１６番１２号 Ｇ-７ビルディング５階,,https://pro.form-mailer.jp/lp/d978a619287683,経岩宗高,2023/05/08,開発,E：未接触,未契約,,協業募集,2024/06/07
アドリンクス,斉藤　亮太,https://addlinks.jp/,03-6868-3778,〒170-0005 東京都豊島区南大塚3-50-1 ウィンド大塚ビル3F,info@addlinks.jp,https://addlinks.jp/contact/,経岩宗高,2023/05/09,開発（エージェント）,E：未接触,未契約,,協業募集,2024/06/11
株式会社Solution Hack,胡　慶弘,https://solution-hack.co.jp/archives/32,03-6427-5422,〒105-0013 東京都港区浜松町２丁目２−１５,,https://solution-hack.co.jp/contactus,経岩宗高,,開発（エージェント）,E：未接触,未契約,,協業募集,2024/06/11
株式会社IIJプロテック,,https://iij-protech.co.jp/contact/,03-5205-6766,〒102-0071 東京都千代田区富士見２丁目１０番２号 飯田橋グラン・ブルーム,,https://iij-protech.co.jp/#contact,経岩宗高,,開発,E：未接触,未契約,,,
株式会社スパイラルネット,,https://spiralnet.co.jp/partner/,03-5843-7270,〒105-0001 東京都港区虎ノ門3-11-9 シュミット虎ノ門ビル4F,,https://spiralnet.co.jp/contact/,経岩宗高,,開発,E：未接触,未契約,,,
東京都品川区西五反田1-26-2　五反田サンハイツビル2階,,https://www.system-server.com/collaboration/,052-221-5581,〒460-0003 愛知県名古屋市中区錦一丁目7番1号楠本第9ビル,,,経岩宗高,,開発（プロダクト）,E：未接触,未契約,電話しかない,,
株式会社SICシステム,,https://sic-system.co.jp/partner/,026-228-6400,〒380-0905 長野県長野市鶴賀405-1　SIC長野ビル,,https://sic-system.co.jp/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
株式会社テクニカルエージェント,,https://technical-agent.jp/partner,052-756-4100,〒460-0003 愛知県名古屋市中区錦1丁目7-15 50KT中駒ビル 2F,,https://technical-agent.jp/contact,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
ギクワークス,小島　正也,https://gigxit.co.jp/,03-6758-7311,〒105-0003 東京都港区西新橋二丁目11番6号　ニュー西新橋ビル3階,,https://gigxit.co.jp/contact_buisiness/,経岩宗高,2023/05/09,Sier・コンサル,E：未接触,未契約,,協業募集,2024/06/13
コンピューターマネージメント,竹中勝昭,https://www.cmknet.co.jp/,050-3508-9000,〒530-0001 大阪府大阪市北区梅田一丁目13番１号　大阪梅田ツインタワーズ・サウス19階,,https://www.cmknet.co.jp/partner/,経岩宗高,2023/05/09,Sier・コンサル,E：未接触,未契約,,協業募集,2024/06/13
Rosy Solution,,https://rosy-japan.com/,03-6262-9423,〒101-0047 東京都千代田区内神田２-11-6 喜助内神田ビル6階,info@rosy-japan.com,https://rosy-japan.com/contact/,経岩宗高,,開発（プロダクト）,D：対応しない,未契約,,,
オンサイト株式会社,,https://on-sight.biz/partner/,03-6272-6090,〒101-0053　東京都千代田区神田美土代町1番地　WORK VILLA MITOSHIRO 4F,,https://on-sight.biz/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
NSW株式会社,多田 尚二,https://www.nsw.co.jp/,03-3770-1111,〒150-8577 東京都渋谷区桜丘町31-11,ml-nsw-partner@ml.nsw.co.jp,https://www.nsw.co.jp/siteinfo/toiawase.html,経岩宗高,2023/05/10,Sier・コンサル,E：未接触,未契約,,協業募集,2024/06/17
wicresoft,唐 駿,https://www.wicresoft.co.jp/partner/,03-6258-0450,〒163-0445 東京都新宿区西新宿2-1-1　新宿三井ビルディング45階,,https://www.wicresoft.co.jp/contact/,経岩宗高,2023/05/10,開発（エージェント）,E：未接触,未契約,,協業募集,2024/06/18
ICCシステムソリューションズ,横山　伸一郎,https://www.isol.jp/,076-268-7314,〒920-0332 石川県金沢市無量寺町ハ6番地1,,https://www.isol.jp/contact/,経岩宗高,2023/05/11,開発（プロダクト）,E：未接触,未契約,,協業募集,2024/06/18
estc,田中　勝司,http://www.estc.co.jp/partner/,03-5341-4166,〒160-0022 東京都新宿区新宿4-3-15 レイフラット新宿 ５F,,http://www.estc.co.jp/contact/,経岩宗高,2023/05/11,開発,E：未接触,未契約,,協業募集,2024/06/18
クロス・コミュニケーション,信太 孝一,https://www.cross-c.co.jp/,03-6859-2262,〒102-0076 東京都千代田区五番町6−1 AKビルディング 3F,,https://www.cross-c.co.jp/contact/,経岩宗高,2023/05/11,開発,E：未接触,未契約,,協業募集,2024/06/18
BIT,,https://b-it.co.jp/partner,03-5830-1733,〒110-0015 東京都台東区東上野6-1-7　MSKビル3F・4F,,https://b-it.co.jp/inquiry/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
symmetrix,,https://symmetrix.co.jp/partner/,03-6206-2433,〒103-0006 東京都中央区日本橋富沢町12-8 TWG日本橋イースト4階,info@symmetrix.co.jp,https://symmetrix.co.jp/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
日本コンピュータ・ダイナミクス,,https://www.ncd.co.jp/contact/,03-5437-1021,〒141-0031 東京都品川区西五反田四丁目32番1号,,https://www.ncd.co.jp/contact/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
nova,,https://www.nova-system.com/partner_inquiry/,06-6479-8100,〒550-0002 大阪府大阪市西区江戸堀1-3-15 新石原ビル9階,,https://www.nova-system.com/contact/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
isanet,,https://www.isanet.co.jp/partnerentry/,03-5783-8680,〒140-0004 東京都品川区南品川2−2−13 南品川JNビル8階,,https://www.isanet.co.jp/contact/,経岩宗高,,開発,E：未接触,未契約,,,
elite,,http://elite-tech.co.jp/cp-bin/wordpress/%e3%81%8a%e5%95%8f%e5%90%88%e3%81%9b/,03-5829-8286,〒111-0053 東京都台東区浅草橋1-24-3　杉木立ビル6F,contact@elite-tech.co.jp ,https://elite-tech.co.jp/cp-bin/wordpress/%e3%81%8a%e5%95%8f%e5%90%88%e3%81%9b/,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
holon,,https://www.holon.ne.jp/contact.html,050-5526-1061,〒101-0047 東京都千代田区内神田1-16-4 (ピーシー神田ビル2F）,info@holon.ne.jp,https://www.holon.ne.jp/contact.html,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
asdweb,,https://www.asdweb.co.jp/mail/contact/contact.php,044-222-1771,〒210-0005 神奈川県川崎市川崎区東田町8番地 パレール三井ビル15階,,https://www.asdweb.co.jp/#contact,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
jnovel,,https://www.jnovel.co.jp/contact/,03-3927-8801,〒114-0002 東京都北区王子2-30-2,sales@jnovel.co.jp,https://www.jnovel.co.jp/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
skig,,https://skig.co.jp/about/contact.php,0120-37-5125,〒107-0052 東京都港区赤坂2-5-27　SKIビル,,https://skig.co.jp/about/contact.php,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
soft-dt,,https://www.soft-dt.com/company/,099-210-7833,〒890-0053 鹿児島県鹿児島市中央町9-1 鹿児島中央第一生命ビルディング8階,,,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
genee,,https://genee.jp/contact/,03-4500-8256,東京都港区六本木1-4-5 森ビルアークヒルズサウスタワー,,https://genee.jp/contact/,経岩宗高,,開発,E：未接触,未契約,,,
softwd,,http://www.softwd.co.jp/,024-961-1061,〒984-0055 宮城県仙台市若林区表柴田9-6-202,support＠mail.softwd.co.jp,http://www.softwd.co.jp/#contact_section,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
freebit cloudサービス,,https://ci-lp.freebit.com/freebitcloud-contact.html,03-5459-0522,東京都渋谷区円山町3-6 E・スペースタワー,,https://ci-lp.freebit.com/freebitcloud-contact.html,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
MEG,,https://www.meg-it.jp/ENG/Information/contact_e,03-6717-4230,〒108-6028 東京都港区港南2-15-1 品川インターシティA棟28階,,https://meg-it.jp/information/contact/,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
allit,,https://www.allit.co.jp/contact/,03-5213-4755,東京都千代田区九段南3丁目3番地4号  ニューライフビル5F,info_kanri99@allit.co.jp,,経岩宗高,,開発,E：未接触,未契約,,,
キューブシステム,,https://www.cubesystem.co.jp/company/partner/,03-5487-6030,〒141-0032 東京都品川区大崎2-11-1大崎ウィズタワー７階,,https://www.cubesystem.co.jp/contact/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
サンコム,,https://www.suncom.ne.jp/partner.html,03-5816-2188,〒110-0005 東京都台東区上野６－１－１１平岡ビル６F,contact@suncom.ne.jp,https://www.suncom.ne.jp/contact.html,経岩宗高,,開発,E：未接触,未契約,,,
はつかぜ,,https://www.hatsukaze.co.jp/alliance/,06-6940-2866,大阪市中央区城見2-1-61 ツイン21MIDタワー37F,,https://www.hatsukaze.co.jp/inquire/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
ブレイントラスト,,https://www.brain-tr.co.jp/partner,050-1731-3933,〒100-0011 東京都千代田区内幸町2-1-6 WeWork日比谷パークフロント 19F,,https://www.brain-tr.co.jp/contact,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
ゼルダ,,https://zeldainc.com/partner.html,,〒134-0088 東京都江戸川区西葛西6-21-9 第二山藤ビル201,,https://zeldainc.com/contacts.html,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
ソフテムコム,,https://softem.com/partner/,"
06-6244-0820",大阪市中央区船場中央3-3-9 船場センタービル9号館3階,,https://softem.com/inquiry/,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
ギガスジャパン,,https://www.gigas-jp.com/application/partner/,06-6454-8833,〒553-0003 大阪市福島区福島7-14-18　恒和殖産ビル7F,,https://www.gigas-jp.com/contact-form/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
オジテック,,https://www.ozitech.co.jp/recruit,06-6585-0639,〒 540-0012 大阪府大阪市中央区谷町３－４－５ リアライズ谷町ビル４０３,info@ozitech.co.jp,https://www.ozitech.co.jp/contact,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
ロジカル・アーツ,,https://logical.co.jp/partner/entry,06-6263-3570,〒541-0054 大阪市中央区南本町2-3-8 KDX南本町ビル2F,,,経岩宗高,,その他,E：未接触,未契約,,,
クロスウエア,,https://www.crossware.co.jp/partner/,06-6130-2051,〒530-0047 大阪府大阪市北区西天満5丁目10番17号　西天満パークビル4F,,https://www.crossware.co.jp/contact/,経岩宗高,,開発,E：未接触,未契約,,,
ジャパンナレッジスペース,,https://www.jpn-ks.co.jp/partner/,03-6689-8174,〒105-0004 東京都港区新橋6丁目20-1 ル・グラシエルBLDG.1 3F,,https://docs.google.com/forms/d/e/1FAIpQLScAGMLxS1lQ9bOsOT1iQBT3EHmEHZFFT6VpMVgTpVUbWwsykQ/viewform?pli=1,経岩宗高,,開発,E：未接触,未契約,,,
クリエイション,,https://www.creation-j.com/partner.html,,,,,経岩宗高,,,E：未接触,未契約,,,
プランニングビレッジ,,https://www.pvcj.co.jp/company/company_partner.html,03-5809-3591,〒101-0024 東京都千代田区神田和泉町1番地7の1　扇ビル2F,,,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
Priv Tech,,https://privtech.co.jp/,03-5464-5780,東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー34階,中道 大輔,https://go.privtech.co.jp/p/form/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
システム設計事務所,,https://www.systemdesign.co.jp/partner,03-3264-3561,東京都千代田区富士見2丁目4-3 朝日観光ビル,小 林 善 一,https://www.systemdesign.co.jp/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
コンピューターサイエンス,,https://www.cscnet.co.jp/service/partners/wanted/,03-5437-2550,東京都品川区西五反田2-12-19 五反田ＮＮビル13F,安田　秀敏,https://www.cscnet.co.jp/contact/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
メディアテック,,https://www.media-tek.co.jp/recruit/freelance/index.html,0225-93-2111,宮城県石巻市開成1-20,加藤俊治,https://www.media-tek.co.jp/inquiry/index.html,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
ニーズウェル,,https://www.needswell.com/partner,03-6265-6763,〒102-0094 東京都千代田区紀尾井町4-1 ニューオータニ ガーデンコート13階,船津 浩三,https://www.needswell.com/inquiry/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
アイティフォー,,https://www.itfor.co.jp/inquiry/request/,03-5275-7841,〒102-0082 東京都千代田区一番町21　一番町東急ビル　受付12階,,,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
Auto-IDフロンティア,,https://www.id-frontier.jp/partner/,077-551-2020,"〒520-3041 滋賀県栗東市出庭2035番地
",,https://www.even.co.jp/contact/index.html,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
ソフテム,,https://softem-net.co.jp/partner/,045-661-0206,〒231-0062 神奈川県横浜市中区桜木町1－1－8 日石横浜ビル15F,sec@softem-net.co.jp,https://softem-net.co.jp/inquiry/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
日本ナレッジスペース,,https://www.jpn-ks.co.jp/partner/,,東京都港区新橋6丁目20-1 ル・グラシエルBLDG.1 3F,,,経岩宗高,,,E：未接触,未契約,「ジャパンナレッジスペース」と同様,,
アフロフェアインターネット,,https://www.afrofair.jp/businesspartner/,082-568-1563,〒740-0817 広島県広島市南区比治山町2‐4 広洋ビル5F,,https://www.afrofair.jp/contact-2/,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
リンク情報システム,,https://www.lis.co.jp/bp,03-6629-0080,〒102-0082　東京都千代田区一番町１３番地１　新半蔵門ビル,,https://www.lis.co.jp/a4YrQwq6/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
株式会社システム創造開発,,https://www.scd.co.jp/contact,03-5331-2681,〒101-0025 東京都千代田区神田佐久間町1-26 秋葉原村井ビル6階,,https://www.scd.co.jp/contact,経岩宗高,,その他,E：未接触,未契約,,,
